"Nombre";"Cuando";"Precio";"Recinto"
"STAND UP MAGIC - DAVID ROY";"3/25/2026 5:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"TRASH DE YLLANA Y TOTHEM";"3/25/2026 7:00:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"LA AZOTEA";"3/25/2026 7:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"COITUS, LA COMEDIA";"3/26/2026 5:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"CAMPEONES 2";"3/26/2026 7:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"101 DÁLMATAS";"3/27/2026 5:00:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"B VOCAL - EVOZLUTION";"3/27/2026 5:00:00 PM";"Consultar";"Teatro Serrano"
"We Will Rock You el musical";"3/27/2026 8:30:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"RICARDO III";"3/28/2026 11:30:00 AM";"Consultar";"TEATRO INFANTA ISABEL"
"LA REGENTA";"3/28/2026 12:00:00 PM";"Consultar";"Teatro Serrano"
"CRUZANDO LAS CUERDAS";"3/28/2026 3:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"CHEFS - YLLANA";"3/28/2026 4:00:00 PM";"Consultar";"Teatro Serrano"
"MAESTRISSIMO - YLLANA";"3/29/2026 10:30:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"WE LOVE DISCO – YLLANA";"3/30/2026 4:00:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"HAVI POTTER Y LA COMEDIA MUSICAL";"3/30/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"SEMEN TEATRO ARLEQUÍN";"3/30/2026 6:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"MAKING COMEDY SHOW";"3/31/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"DANI DELACÁMARA ARLEQUÍN";"3/31/2026 6:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"EL RASCACIELOS";"4/1/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"BAJO LAS LUCES DE BROADWAY";"4/1/2026 6:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"GREENPISS - YLLANA";"4/3/2026 5:00:00 PM";"Consultar";"Gran Teatro Pavón"
"WHITNEY HOUSTON HOLOGRAM TOUR";"4/4/2026 11:00:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"EL MONSTRUO DE WHITE ROSES";"4/4/2026 5:00:00 PM";"Consultar";"Gran Teatro Pavón"
"CÁDIZ";"4/5/2026 11:00:00 AM";"Consultar";"Gran Teatro Pavón"
"LUNÁTICO";"4/6/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"666 - YLLANA";"4/6/2026 6:00:00 PM";"Consultar";"Gran Teatro Pavón"
"ELLAS MIENTEN COMO MIENTEN LOS BOLEROS";"4/7/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"PAGAGNINI - YLLANA";"4/7/2026 6:00:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"EL IMITADOR GRAN TEATRO PAVÓN";"4/7/2026 6:00:00 PM";"Consultar";"Gran Teatro Pavón"
"VIOLINÍSTICAS";"4/7/2026 6:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"EL AMOR Y MUCHO MATCH!";"4/8/2026 6:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"LOSER";"4/9/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"JORGE BEDOYA - LAS MANOS";"4/10/2026 8:00:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"VOCAL EXPRESS";"4/11/2026 11:00:00 AM";"Consultar";"Gran Teatro Pavón"
"PIENSA EN WILBUR TEATRO SERRANO";"4/11/2026 11:00:00 AM";"Consultar";"Teatro Serrano"
"LUIS ÁLVAREZ - EL DESPERTAR";"4/12/2026 11:00:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"CORIA CASTILLO A QUIEN NO LE VA A GUSTAR ARLEQUIN";"4/14/2026 6:30:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"DISNEY FOLCLÓRICO";"4/15/2026 4:00:00 PM";"Consultar";"Teatro Arlequín Gran Vía"
"LA CELESTINA";"4/18/2026 11:00:00 AM";"Consultar";"Teatro Serrano"
"LA ROSA 14";"4/18/2026 11:00:00 AM";"Consultar";"Gran Teatro Pavón"
"LUIS ÁLVAREZ - EL LUGAR MÁS FELIZ DEL MUNDO";"4/25/2026 11:00:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"ARTE";"4/25/2026 4:00:00 PM";"Consultar";"Teatro Serrano"
"VOILÁ";"4/25/2026 6:30:00 PM";"Consultar";"Teatro Serrano"
"BON VOYAGE";"5/1/2026 8:30:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"CALLAS EN CONCIERTO  EN HOLOGRAMA";"5/2/2026 11:00:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"LA LOCA HISTORIA DE LA LITERATURA";"5/9/2026 4:00:00 PM";"Consultar";"Teatro Serrano"
"JUANA LA LOCA";"5/22/2026 4:00:00 PM";"Consultar";"Teatro Serrano"
"EL TENORIO EN 59 MINUTOS";"5/22/2026 6:30:00 PM";"Consultar";"Teatro Serrano"
"GOTERAS";"5/26/2026 5:30:00 PM";"Consultar";"Gran Teatro Pavón"
"LUIS ÁLVAREZ- QUÉ RAZÓN TENÍA MI PADRE";"6/13/2026 11:00:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"FLAMENC OH! - YLLANA";"7/1/2026 6:30:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"LUIS ÁLVAREZ - EL PROPÓSITO DE TU VIDA";"7/18/2026 11:00:00 AM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"THE OPERA LOCOS - YLLANA";"7/29/2026 6:30:00 PM";"Consultar";"Gran Teatro CaixaBank Príncipe Pío"
"LO MEJOR DE YLLANA";"8/19/2026 6:00:00 PM";"Consultar";"Gran Teatro Pavón"
